2024-05-24 22:18:10,938 INFO:Парсинг страницы: https://easyoffer.ru/rating/python_developer?page=1
2024-05-24 22:18:12,376 INFO:Найдено 15 ссылок на вопросы на странице https://easyoffer.ru/rating/python_developer?page=1
2024-05-24 22:18:12,377 INFO:Количество найденных вопросов на https://easyoffer.ru/rating/python_developer?page=1: 15
2024-05-24 22:18:12,377 INFO:Парсинг вопроса: https://easyoffer.ru/question/593
2024-05-24 22:18:13,781 INFO:Вопрос: Расскажи о себе
2024-05-24 22:18:13,784 INFO:Вопрос успешно вставлен в базу данных.
2024-05-24 22:18:13,784 INFO:Парсинг вопроса: https://easyoffer.ru/question/594
2024-05-24 22:18:15,271 INFO:Вопрос: Расскажи о своем опыте
2024-05-24 22:18:15,273 INFO:Вопрос успешно вставлен в базу данных.
2024-05-24 22:18:15,273 INFO:Парсинг вопроса: https://easyoffer.ru/question/779
2024-05-24 22:18:16,688 INFO:Вопрос: Какие есть типы данных в Python
2024-05-24 22:18:16,690 INFO:Вопрос успешно вставлен в базу данных.
2024-05-24 22:18:16,690 INFO:Парсинг вопроса: https://easyoffer.ru/question/595
2024-05-24 22:18:18,784 INFO:Вопрос: Расскажи о своих лучших проектах
2024-05-24 22:18:18,787 INFO:Вопрос успешно вставлен в базу данных.
2024-05-24 22:18:18,787 INFO:Парсинг вопроса: https://easyoffer.ru/question/596
2024-05-24 22:18:20,206 INFO:Вопрос: Что сподвигло стать Python разработчиком
2024-05-24 22:18:20,208 INFO:Вопрос успешно вставлен в базу данных.
2024-05-24 22:18:20,208 INFO:Парсинг вопроса: https://easyoffer.ru/question/780
2024-05-24 22:18:21,610 INFO:Вопрос: Что такое контекстный менеджер
2024-05-24 22:18:21,612 INFO:Вопрос успешно вставлен в базу данных.
2024-05-24 22:18:21,612 INFO:Парсинг вопроса: https://easyoffer.ru/question/597
2024-05-24 22:18:23,012 INFO:Вопрос: Какие у тебя планы на развитие на ближайшее будущее
2024-05-24 22:18:23,015 INFO:Вопрос успешно вставлен в базу данных.
2024-05-24 22:18:23,015 INFO:Парсинг вопроса: https://easyoffer.ru/question/781
2024-05-24 22:18:24,397 INFO:Вопрос: В чем разница между итератором и генератором
2024-05-24 22:18:24,399 INFO:Вопрос успешно вставлен в базу данных.
2024-05-24 22:18:24,399 INFO:Парсинг вопроса: https://easyoffer.ru/question/332
2024-05-24 22:18:25,858 INFO:Вопрос: Что такое SOLID
2024-05-24 22:18:25,861 INFO:Вопрос успешно вставлен в базу данных.
2024-05-24 22:18:25,861 INFO:Парсинг вопроса: https://easyoffer.ru/question/782
2024-05-24 22:18:27,290 INFO:Вопрос: Что такое декораторы
2024-05-24 22:18:27,292 INFO:Вопрос успешно вставлен в базу данных.
2024-05-24 22:18:27,292 INFO:Парсинг вопроса: https://easyoffer.ru/question/323
2024-05-24 22:18:28,668 INFO:Вопрос: Какие базы данных использовал в работе
2024-05-24 22:18:28,670 INFO:Вопрос успешно вставлен в базу данных.
2024-05-24 22:18:28,670 INFO:Парсинг вопроса: https://easyoffer.ru/question/783
2024-05-24 22:18:30,041 INFO:Вопрос: Чем init() отличается от new()
2024-05-24 22:18:30,043 INFO:Вопрос успешно вставлен в базу данных.
